maand;Totaal
jan/12;369432
feb/12;297745
mrt/12;464838
apr/12;481184
mei/12;500655
jun/12;478503
jul/12;531527
aug/12;550708
sep/12;491321
okt/12;393856
nov/12;404280
dec/12;417317
jan/13;352011
feb/13;409807
mrt/13;462283
apr/13;557303
mei/13;541117
jun/13;504855
jul/13;587532
aug/13;555033
sep/13;443632
okt/13;443779
nov/13;358357
dec/13;511111
jan/14;457353
feb/14;489465
mrt/14;456377
apr/14;453368
mei/14;487696
jun/14;472586
jul/14;447069
aug/14;466806
sep/14;487562
okt/14;504838
nov/14;456344
dec/14;470520
jan/15;485225
feb/15;430195
mrt/15;558895
apr/15;605519
mei/15;620980
jun/15;573663
jul/15;652438
aug/15;586511
sep/15;557480
okt/15;468461
nov/15;494820
dec/15;542118
jan/16;432768
feb/16;426171
mrt/16;759404
apr/16;486855
mei/16;605677
jun/16;465838
jul/16;583215
aug/16;550282
sep/16;583993
okt/16;439841
nov/16;421308
dec/16;483361
jan/17;431649
feb/17;460798
mrt/17;562726
apr/17;491720
mei/17;567163
jun/17;635697
jul/17;557921
aug/17;511612
sep/17;510610
okt/17;538966
nov/17;464273
dec/17;503881
jan/18;536564
feb/18;479228
mrt/18;454351
apr/18;426462
mei/18;492568
jun/18;446478
jul/18;474267
aug/18;412883
sep/18;100256
