U;I
0.0695898;9.5154146
0.6587928;9.5128595
1.2493674;9.5160302
1.86555;9.5131546
2.455596;9.5129015
3.065787;9.5151343
3.6458172;9.5115985
4.2299616;9.5137666
4.8537108;9.5137956
5.450424;9.5114958
6.0580674;9.5156752
6.647838;9.5131812
7.2692766;9.5140531
7.8554634;9.5153195
8.4388422;9.5132863
9.0548814;9.5144661
9.6385074;9.5133571
10.263093;9.5129913
10.8474666;9.5137398
11.4348624;9.5107439
12.0406218;9.5135212
12.6350724;9.5113138
13.2529374;9.5110075
13.8400824;9.512928
14.452836;9.5096619
15.0397302;9.5098203
15.6232836;9.5106656
16.2428634;9.5074859
16.8306294;9.508907
17.4496404;9.5069426
18.0377826;9.506347
18.6281814;9.5066794
19.2417942;9.5039131
19.8294048;9.504988
20.4444348;9.503982
21.0278304;9.5011052
21.6463422;9.5013605
22.2204996;9.4977337
22.8165714;9.4966584
23.4339;9.4943394
24.018864;9.4905034
24.6366042;9.4891567
25.2247626;9.4837653
25.8424818;9.479932
26.4265164;9.4756772
27.006465;9.4652452
27.6336402;9.4557899
28.221879;9.4390586
28.8384468;9.4152732
29.42304;9.3891304
30.0088044;9.3474814
30.6257892;9.291245
31.2092616;9.2168237
31.8239358;9.106698
32.412174;8.9686331
33.0278304;8.7708184
33.6149574;8.5243174
34.2007176;8.2109083
34.81947;7.7925079
35.4067326;7.3059728
36.0296526;6.6884024
36.6186486;5.9944503
37.1875662;5.2187016
37.8176988;4.2420829
38.4064278;3.2256864
39.0265368;2.0398823
39.6218454;0.790379
