jaar;indexcijfer
1920;471
1921;386
1922;371
1923;453
1924;503
1925;525
1926;684
1927;794
1928;825
1929;889
1930;874
1931;786
1932;713
1933;701
1934;660
1935;670
1936;690
1937;753
1938;764
1939;755.66
1947;2567.37
1948;2929.56
1949;2755.74
1950;2848.11
1951;3033.57
1952;3011.02
1953;3044.48
1954;3074.3
1955;3073.36
1956;3143.71
1957;3246.66
1958;3262.96
1959;3327.87
1960;3313.68
1961;3365.61
1962;3393.68
1963;3488.18
1964;3650.9
1965;3794.91
1966;3936.2
1967;4060.38
1968;4171.77
1969;4329.06
1970;4491.05
1971;4722.07
1972;4976.15
1973;5310.97
1974;6140.09
1975;6807.4
1976;7440.08
1977;7924.97
1978;8229.7
1979;8607.91
1980;9187.98
1981;9959.72
1982;10891.17
1983;11689.09
1984;12311.63
1985;12872.46
1986;12989.54
1987;13213.87
1988;13373.26
1989;13847.51
1990;14358.15
1991;14721.18
1992;15063.26
1993;15487.85
1994;15868.53
1995;16057.53
1996;16374.32
1997;16639.19
1998;16776.78
1999;16976.08
2000;17546.2
2001;17943.15
2002;18168.59
2003;18495.3
2004;18871.02
2005;19467.28
2006;19705.86
2007;20002.5
2008;21095.19
2009;20843.61
2010;21450.03
2011;22212.28
2012;22824.33
2013;23027.1
2014;23000.84
2015;23244.43
2016;23678.76
2017;24154.45
2018;24722.06
